flow_key,total_packets,total_bytes,flow_duration,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,direction_ratio,burst_count,burst_avg_size,bytes_per_second,packets_per_second,source_pcap,label
"(17, '10.211.218.77', 5353, '224.0.0.251', 5353)",6,630,100.11884498596191,105.0,0.0,105,105,20.023768997192384,0.004218061861696737,1.0,6,1.0,6.2925216535242186,0.059928777652611606,copilot_007.pcap,copilot
"(6, '10.211.218.53', 63776, '52.182.143.209', 443)",11,1484,124.63673400878906,134.9090909090909,225.198278108004,40,839,12.463673400878907,19.011852001578493,0.7553908355795148,8,1.375,11.906602108936456,0.08825648463497374,copilot_007.pcap,copilot
"(6, '10.211.218.53', 55820, '20.42.65.91', 443)",29,17239,126.23898696899414,594.448275862069,637.4777121841281,40,1400,4.508535248892648,12.937894859842539,0.9466326353036719,9,3.2222222222222223,136.5584469101777,0.22972300947822688,copilot_007.pcap,copilot
"(6, '10.211.218.53', 51021, '18.161.216.63', 443)",8,372,135.21209597587585,46.5,5.5,41,52,19.316013710839407,22.248534554864676,0.44086021505376344,4,2.0,2.7512331446024705,0.05916630418499937,copilot_007.pcap,copilot
"(6, '10.211.218.53', 62743, '23.48.244.144', 443)",8,372,135.1418161392212,46.5,5.5,41,52,19.305973734174454,22.25886995171317,0.44086021505376344,4,2.0,2.752663909864663,0.05919707333042286,copilot_007.pcap,copilot
"(6, '10.211.218.53', 60569, '20.190.146.34', 443)",5,226,81.78815817832947,45.2,5.564171097297422,40,52,20.447039544582367,20.606367782565428,0.36283185840707965,3,1.6666666666666667,2.763236207217597,0.06113354440746896,copilot_007.pcap,copilot
"(6, '10.211.218.53', 61612, '20.42.65.91', 443)",5,226,80.61052989959717,45.2,5.564171097297422,40,52,20.152632474899292,20.223330226547773,0.36283185840707965,5,1.0,2.803603949527311,0.06202663605148918,copilot_007.pcap,copilot
"(6, '10.211.218.53', 56452, '20.42.65.91', 443)",5,226,78.55429601669312,45.2,5.564171097297422,40,52,19.63857400417328,19.852741551579406,0.36283185840707965,5,1.0,2.8769909662480337,0.06365024261610694,copilot_007.pcap,copilot
"(6, '10.211.218.53', 61317, '20.42.65.91', 443)",5,226,81.85633492469788,45.2,5.564171097297422,40,52,20.46408373117447,20.414525637803663,0.36283185840707965,5,1.0,2.7609347548714984,0.061082627320165894,copilot_007.pcap,copilot
"(6, '10.211.218.53', 53385, '204.79.197.203', 443)",5,226,80.74084687232971,45.2,5.564171097297422,40,52,20.185211718082428,20.405564562922233,0.36283185840707965,3,1.6666666666666667,2.799078889491452,0.06192652410379318,copilot_007.pcap,copilot
"(6, '10.211.218.53', 59309, '204.79.197.203', 443)",5,226,78.54363918304443,45.2,5.564171097297422,40,52,19.63590979576111,20.02355288854037,0.36283185840707965,3,1.6666666666666667,2.8773813175795353,0.06365887870751184,copilot_007.pcap,copilot
"(6, '10.211.218.53', 53495, '104.208.16.88', 443)",5,226,83.57049894332886,45.2,5.564171097297422,40,52,20.892624735832214,20.7104424550375,0.36283185840707965,5,1.0,2.70430358628415,0.05982972536026881,copilot_007.pcap,copilot
